college_Tier,name,avg_Parent_Rank,avg_Student_Rank,pc_Parents_Q1,pc_Parents_Q5,pc_Students_Q1,pc_Students_Q5
Selective - Highly Selective,St. John's College,0.709252329,0.55305856,5.2211516,47.655928,15.908934,27.159184
Selective - Highly Selective,St. Edward's University,0.67250543,0.61600572,10.910878,45.297185,11.611568,32.394755
Selective - Highly Selective,St. Catherine University,0.630586307,0.6109851,7.3180601,31.305304,10.251468,32.185945
Selective - Highly Selective,Spring Hill College,0.689928253,0.6405111,6.5644443,46.306044,11.280569,36.063343
Selective - Highly Selective,Spring Arbor University,0.62879032,0.54447186,5.2737158,27.540541,15.02623,20.030789
Selective - Highly Selective,Spelman College,0.622112295,0.67334753,9.4288513,35.122007,7.4441619,42.2611
Selective - Highly Selective,Southwestern University,0.768829199,0.67764938,3.1312697,60.174513,7.9925373,46.037006
Selective - Highly Selective,Southwestern Oklahoma State University,0.50907567,0.58767712,14.213049,13.904133,12.808108,29.366553
Selective - Highly Selective,Southwest Baptist University,0.561739292,0.53079879,10.845382,21.598859,14.069128,17.719412
Selective - Highly Selective,Southern Utah University,0.619486283,0.49896228,6.9633178,25.317809,23.30609,21.243271
Selective - Highly Selective,Southern University And Agricultural & Mechanical Colg At Baton R,0.392108796,0.56656832,31.241488,10.231024,8.9354865,19.396341
Selective - Highly Selective,Southern Polytechnic State University,0.653902451,0.69217104,5.8328785,35.067064,7.8506954,47.994649
Selective - Highly Selective,Southern Oregon University,0.625316164,0.5549947,7.7891052,31.689358,13.88377,24.446884
Selective - Highly Selective,Southern New Hampshire University,0.633511555,0.62902522,5.583268,29.19544,9.6690536,32.869193
Selective - Highly Selective,Southern Methodist University,0.786780619,0.67789221,4.4499464,65.436316,12.958485,49.672619
Selective - Highly Selective,Southern Illinois University Edwardsville,0.63360555,0.62535119,6.8387792,29.260132,8.8325083,30.93918
Selective - Highly Selective,Southern Illinois University At Carbondale,0.639745277,0.62379104,6.8834282,33.34471,9.1612622,32.031649
Selective - Highly Selective,Southern Connecticut State University,0.653382633,0.62148345,5.6201901,34.127915,9.703245,30.672967
Selective - Highly Selective,Southern Arkansas University,0.496037194,0.56933987,17.63635,13.908975,12.483607,22.736879
Selective - Highly Selective,Southeastern University,0.539662843,0.53009683,11.53024,17.306402,14.953093,17.030442
Selective - Highly Selective,Southeastern Oklahoma State University,0.48762016,0.56094331,17.545877,14.135966,11.5793,21.743637
Selective - Highly Selective,Southeastern Louisiana University,0.554838306,0.55690467,14.494023,22.700837,13.036519,21.858345
Selective - Highly Selective,Southeast Missouri State University,0.626996272,0.60661554,7.0961244,29.22821,8.9706436,25.505507
Selective - Highly Selective,South Carolina State University,0.408483088,0.55813575,26.00328,9.1295645,9.239658,17.081362
Selective - Highly Selective,Sonoma State University,0.721268833,0.63638425,5.0166395,51.724881,11.407903,37.406453
Selective - Highly Selective,Smith College,0.725979979,0.63975894,5.0264381,51.798022,10.738239,38.697171
Selective - Highly Selective,Slippery Rock University,0.604935186,0.61003184,6.6900283,22.512695,8.5886016,24.789125
Selective - Highly Selective,Skidmore College,0.807428167,0.65399283,4.4441804,66.938424,10.725737,42.706704
Selective - Highly Selective,Simpson College,0.634696182,0.67851728,3.0970447,23.960833,5.2379027,38.72034
Selective - Highly Selective,Simmons College,0.665616845,0.66422373,5.6845352,37.77757,10.778995,43.544522
Selective - Highly Selective,Siena Heights University,0.644353852,0.58383137,6.3089222,31.309566,10.326663,24.440512
Selective - Highly Selective,Siena College,0.74173989,0.7451281,3.7499938,53.505045,6.7883417,56.31029
Selective - Highly Selective,Shorter University,0.61913943,0.56712222,6.9336995,25.918147,12.779319,20.132041
Selective - Highly Selective,Shippensburg University Of Pennsylvania,0.674016469,0.66833979,4.3899104,35.942483,7.082019,37.025797
Selective - Highly Selective,Shepherd University,0.617887041,0.5853321,7.3102482,28.675282,11.048426,24.574968
Selective - Highly Selective,Seton Hill University,0.54350226,0.54883432,7.5513139,16.30336,11.93911,17.814583
Selective - Highly Selective,Seattle University,0.707420907,0.69313949,4.7202915,47.247419,9.8784328,50.512326
Selective - Highly Selective,Seattle Pacific University,0.70866379,0.57563281,4.4609308,45.23342,17.371234,32.682598
Selective - Highly Selective,Schreiner University,0.594499382,0.57851815,9.9125564,28.605685,11.954721,26.948065
Selective - Highly Selective,Savannah State University,0.424524511,0.52029896,24.721366,9.8191321,12.038068,16.019957
Selective - Highly Selective,Santa Clara University,0.787701157,0.75007588,3.6217712,65.079165,9.9994488,63.077784
Selective - Highly Selective,San Jose State University,0.629639312,0.69880325,11.658612,38.707143,9.0116784,50.944173
Selective - Highly Selective,San Francisco State University,0.621767957,0.63048476,10.07141,35.873926,11.723424,37.851137
Selective - Highly Selective,San Diego State University,0.670021614,0.66684097,8.9785799,44.018167,10.003936,44.904196
